RUBRO_ID;RUBRO_NOMBRE;CODIGO_CLAE
128;Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres;103020
129;Elaboración de frutas, hortalizas y legumbres congeladas;103030
130;Elaboración de hortalizas y legumbres deshidratadas o desecadas, preparación n.c.p. de hortalizas y legumbres;103091
131;Elaboración de frutas deshidratadas o desecadas, preparación n.c.p. de frutas;103099
132;Elaboración de aceites y grasas vegetales  sin refinar;104011
133;Elaboración de aceite de oliva;104012
134;Elaboración de aceites y grasas vegetales refinados;104013
135;Elaboración de margarinas y grasas vegetales comestibles similares;104020
136;Elaboración de leches y productos lácteos deshidratados;105010
137;Elaboración de quesos;105020
138;Elaboración industrial de helados;105030
139;Elaboración de productos lácteos n.c.p.;105090
140;Molienda de trigo;106110
141;Preparación de arroz;106120
142;Elaboración de alimentos a base de cereales;106131
143;Preparación y molienda de legumbres y cereales n.c.p., excepto trigo y arroz y molienda húmeda de maíz;106139
144;Elaboración de almidones y productos derivados del almidón, molienda húmeda de maíz;106200
145;Elaboración de galletitas y bizcochos;107110
146;Elaboración industrial de productos de panadería, excepto galletitas y bizcochos;107121
147;Elaboración de productos de panadería n.c.p.;107129
148;Elaboración de azúcar;107200
149;Elaboración de cacao y chocolate;107301
150;Elaboración de productos de confitería n.c.p.;107309
151;Elaboración de pastas alimentarias frescas;107410
152;Elaboración de pastas alimentarias secas;107420
153;Elaboración de comidas preparadas para reventa;107500
154;Tostado, torrado y molienda de café;107911
155;Elaboración y molienda de hierbas aromáticas y  especias;107912
156;Preparación de hojas de té;107920
157;Elaboración de yerba mate;107930
158;Elaboración de extractos, jarabes y concentrados;107991
159;Elaboración de vinagres;107992
160;Elaboración de productos alimenticios n.c.p.;107999
161;Elaboración de alimentos preparados para animales;108000
162;Servicios industriales para la elaboración de alimentos y bebidas;109000
163;Destilación, rectificación y mezcla de bebidas espiritosas;110100
164;Elaboración de mosto;110211
165;Elaboración de vinos;110212
166;Elaboración de sidra y otras bebidas alcohólicas fermentadas;110290
167;Elaboración de cerveza, bebidas malteadas y malta;110300
168;Embotellado de aguas naturales y minerales;110411
169;Fabricación de sodas;110412
170;Elaboración de bebidas gaseosas, excepto soda;110420
171;Elaboración de hielo;110491
172;Elaboración de bebidas no alcohólicas n.c.p.;110492
173;Preparación de hojas de tabaco;120010
174;Elaboración de cigarrillos;120091
175;Elaboración de productos de tabaco n.c.p.;120099
176;Preparación de fibras textiles vegetales, desmotado de algodón;131110
177;Preparación de fibras animales de uso textil;131120
178;Fabricación de hilados textiles de lana, pelos y sus mezclas;131131
179;Fabricación de hilados textiles de algodón y sus mezclas;131132
180;Fabricación de hilados textiles n.c.p., excepto de lana  y de algodón;131139
181;Fabricación de tejidos (telas) planos de lana y sus mezclas, incluye hilanderías y tejedurías integradas;131201
182;Fabricación de tejidos (telas) planos de algodón y sus mezclas, incluye hilanderías y tejedurías integradas;131202
183;Fabricación de tejidos (telas) planos de fibras textiles n.c.p., incluye hilanderías y tejedurías integradas;131209
184;Acabado de productos textiles;131300
185;Fabricación de tejidos de punto;139100
186;Fabricación de frazadas, mantas, ponchos, colchas, cobertores, etc.;139201
187;Fabricación de ropa de cama y mantelería;139202
188;Fabricación de artículos de lona y sucedáneos de lona;139203
189;Fabricación de bolsas de materiales textiles para productos a granel;139204
190;Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir;139209
191;Fabricación de tapices y alfombras;139300
192;Fabricación de cuerdas, cordeles, bramantes y redes;139400
193;Fabricación de productos textiles n.c.p.;139900
194;Confección de ropa interior, prendas para dormir y para la playa;141110
195;Confección de ropa de trabajo, uniformes y guardapolvos;141120
196;Confección de prendas de vestir para bebés y niños;141130
197;Confección de prendas deportivas;141140
198;Fabricación de accesorios de vestir excepto de cuero;141191
199;Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto;141199
200;Fabricación de accesorios de vestir de cuero;141201
201;Confección de prendas de vestir de cuero;141202
202;Terminación y teñido de pieles, fabricación de artículos de piel;142000
203;Fabricación de medias;143010
204;Fabricación de prendas de vestir y artículos similares de punto;143020
205;Servicios industriales para la industria confeccionista;149000
206;Curtido y terminación de cueros;151100
207;Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y artículos de cuero n.c.p.;151200
208;Fabricación de calzado de cuero, excepto calzado deportivo y ortopédico;152011
209;Fabricación de calzado de materiales n.c.p., excepto calzado deportivo y ortopédico;152021
210;Fabricación de calzado deportivo;152031
211;Fabricación de partes de calzado;152040
212;Aserrado y cepillado de madera  nativa;161001
