cuenta_id_legacy;empresa_id_legacy;codigo_legacy;nombre_legacy;concepto_canonico;preferida
117;4;5011;SERVICISO INFORMATICOS;SERVICIOS INFORMATICOS;1
118;4;5012;CANON;CANON;1
119;4;5013;SERVICIOS JURIDICOS;SERVICIOS JURIDICOS;1
120;4;5030;BANCO NACION - INTERES POR DESCUBIERTO;BANCO NACION - INTERES POR DESCUBIERTO;1
121;4;5009;INTERESES BANCARIOS;INTERESES BANCARIOS;1
122;4;5031;BANCO NACION - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO NACION - GASTOS DE MANTENIMIENTO DE CUENTA;1
123;4;5032;BANCO NACION - INTERESES POR PRESTAMOS;BANCO NACION - INTERESES POR PRESTAMOS;1
124;4;5033;BANCO SANTANDER - INTERES POR DESCUBIERTO;BANCO SANTANDER - INTERES POR DESCUBIERTO;1
125;4;5036;BANCO GALICIA - INTERES POR DESCUBIERTO;BANCO GALICIA - INTERES POR DESCUBIERTO;1
126;4;5039;BBVA FRANCES - INTERES POR DESCUBIERTO;BBVA FRANCES - INTERES POR DESCUBIERTO;1
127;4;5042;BANCO CREDICOOP - INTERES POR DESCUBIERTO;BANCO CREDICOOP - INTERES POR DESCUBIERTO;1
128;4;5045;BANCO HSBC - INTERES POR DESCUBIERTO;BANCO HSBC - INTERES POR DESCUBIERTO;1
129;4;5048;BANCO PATAGONIA - INTERES POR DESCUBIERTO;BANCO PATAGONIA - INTERES POR DESCUBIERTO;1
130;4;5034;BANCO SANTANDER - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO SANTANDER - GASTOS DE MANTENIMIENTO DE CUENTA;1
131;4;5037;BANCO GALICIA - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO GALICIA - GASTOS DE MANTENIMIENTO DE CUENTA;1
132;4;5043;BANCO CREDICOOP - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO CREDICOOP - GASTOS DE MANTENIMIENTO DE CUENTA;1
133;4;5046;BANCO HSBC - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO HSBC - GASTOS DE MANTENIMIENTO DE CUENTA;1
134;4;5049;BANCO PATAGONIA - GASTOS DE MANTENIMIENTO DE CUENTA;BANCO PATAGONIA - GASTOS DE MANTENIMIENTO DE CUENTA;1
135;4;5035;BANCO SANTANDER - INTERESES POR PRESTAMOS;BANCO SANTANDER - INTERESES POR PRESTAMOS;1
136;4;5038;BANCO GALICIA - INTERESES POR PRESTAMOS;BANCO GALICIA - INTERESES POR PRESTAMOS;1
137;4;5041;BBVA FRANCES - INTERESES POR PRESTAMOS;BBVA FRANCES - INTERESES POR PRESTAMOS;1
138;4;5044;BANCO CREDICOOP- INTERESES POR PRESTAMOS;BANCO CREDICOOP- INTERESES POR PRESTAMOS;1
139;4;5047;BANCO HSBC - INTERESES POR PRESTAMOS;BANCO HSBC - INTERESES POR PRESTAMOS;1
140;4;5050;BANCO PATAGONIA- INTERESES POR PRESTAMOS;BANCO PATAGONIA- INTERESES POR PRESTAMOS;1
141;4;1050;RODADOS - BIENES DE USO;RODADOS - BIENES DE USO;1
142;4;1051;MUEBLES Y UTILES - BIENES DE USO;MUEBLES Y UTILES - BIENES DE USO;1
143;4;1052;MAQUINARIA - BIENES DE USO;MAQUINARIA - BIENES DE USO;1
